matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  tcmalloc prodcons 256:1024 t=64 rep=2  13:10:39
  mimalloc prodcons 256:1024 t=64 rep=2  13:10:47
  snmalloc prodcons 256:1024 t=64 rep=2  13:10:54
  scudo prodcons 256:1024 t=64 rep=2  13:11:01
  rpmalloc prodcons 256:1024 t=64 rep=2  13:11:18
  libc prodcons 256:1024 t=128 rep=1  13:11:25
  umem prodcons 256:1024 t=128 rep=1  13:11:44
  umem@null prodcons 256:1024 t=128 rep=1  13:12:10
  umem-preload prodcons 256:1024 t=128 rep=1  13:12:44
  umem-preload@null prodcons 256:1024 t=128 rep=1  13:13:13
  jemalloc prodcons 256:1024 t=128 rep=1  13:13:37
  tcmalloc prodcons 256:1024 t=128 rep=1  13:13:56
  mimalloc prodcons 256:1024 t=128 rep=1  13:14:14
  snmalloc prodcons 256:1024 t=128 rep=1  13:14:56
  scudo prodcons 256:1024 t=128 rep=1  13:15:12
  rpmalloc prodcons 256:1024 t=128 rep=1  13:15:58
  libc prodcons 256:1024 t=128 rep=2  13:16:24
  umem prodcons 256:1024 t=128 rep=2  13:16:43
  umem@null prodcons 256:1024 t=128 rep=2  13:17:16
  umem-preload prodcons 256:1024 t=128 rep=2  13:17:42
  umem-preload@null prodcons 256:1024 t=128 rep=2  13:18:11
  jemalloc prodcons 256:1024 t=128 rep=2  13:18:42
  tcmalloc prodcons 256:1024 t=128 rep=2  13:19:07
  mimalloc prodcons 256:1024 t=128 rep=2  13:19:34
  snmalloc prodcons 256:1024 t=128 rep=2  13:20:09
  scudo prodcons 256:1024 t=128 rep=2  13:20:33
  rpmalloc prodcons 256:1024 t=128 rep=2  13:21:17
  libc prodcons 256:1024 t=192 rep=1  13:21:38
  umem prodcons 256:1024 t=192 rep=1  13:22:23
  umem@null prodcons 256:1024 t=192 rep=1  13:23:11
  umem-preload prodcons 256:1024 t=192 rep=1  13:23:59
  umem-preload@null prodcons 256:1024 t=192 rep=1  13:24:43
  jemalloc prodcons 256:1024 t=192 rep=1  13:25:27
  tcmalloc prodcons 256:1024 t=192 rep=1  13:25:56
  mimalloc prodcons 256:1024 t=192 rep=1  13:26:42
  snmalloc prodcons 256:1024 t=192 rep=1  13:27:16
  scudo prodcons 256:1024 t=192 rep=1  13:27:50
  rpmalloc prodcons 256:1024 t=192 rep=1  13:28:37
  libc prodcons 256:1024 t=192 rep=2  13:29:12
  umem prodcons 256:1024 t=192 rep=2  13:29:52
  umem@null prodcons 256:1024 t=192 rep=2  13:30:39
  umem-preload prodcons 256:1024 t=192 rep=2  13:31:31
  umem-preload@null prodcons 256:1024 t=192 rep=2  13:32:24
  jemalloc prodcons 256:1024 t=192 rep=2  13:33:16
  tcmalloc prodcons 256:1024 t=192 rep=2  13:33:41
  mimalloc prodcons 256:1024 t=192 rep=2  13:34:25
  snmalloc prodcons 256:1024 t=192 rep=2  13:35:01
  scudo prodcons 256:1024 t=192 rep=2  13:35:35
  rpmalloc prodcons 256:1024 t=192 rep=2  13:36:40
  libc prodcons 1024:4096 t=1 rep=1  13:37:20
  umem prodcons 1024:4096 t=1 rep=1  13:37:37
  umem@null prodcons 1024:4096 t=1 rep=1  13:37:52
  umem-preload prodcons 1024:4096 t=1 rep=1  13:38:08
  umem-preload@null prodcons 1024:4096 t=1 rep=1  13:38:24
  jemalloc prodcons 1024:4096 t=1 rep=1  13:38:41
  tcmalloc prodcons 1024:4096 t=1 rep=1  13:38:56
  mimalloc prodcons 1024:4096 t=1 rep=1  13:39:12
  snmalloc prodcons 1024:4096 t=1 rep=1  13:39:28
  scudo prodcons 1024:4096 t=1 rep=1  13:39:45
