arm,label,replicate,allocator,workload,threads,total_ops,ops_per_thread,elapsed_sec,ops_per_sec,lat_min,lat_p50,lat_p90,lat_p99,lat_p999,lat_max,lat_mean,rss_at_live_peak,vmhwm_bytes,allocated_bytes,live_bytes_at_peak,live_bytes_median,frag,frag_median,frag_samples,cpu_user_ms,cpu_sys_ms,ops_cov,runs,unstable,ops_floor_raised,alloc_failures
post-preload,api-vs-preload-multi-128,1,umem-preload,multi-thread,128,20000000,156250,0.086172,232094657.30,17,29,39,115,422,21753944,53,12611584,12611584,790052932,0,0,,,0,4945.6,0.0,0.0590,3,0,0,0
post-api,api-vs-preload-multi-128,2,umem,multi-thread,128,20000000,156250,0.068422,292305285.51,16,29,56,117,287,20005548,44,11042816,11042816,790052932,0,0,,,0,3728.7,0.0,0.0471,3,0,0,0
post-preload,api-vs-preload-multi-128,2,umem-preload,multi-thread,128,20000000,156250,0.081321,245937926.28,17,26,38,96,192,33405058,49,12603392,12603392,790052932,0,0,,,0,4785.3,9.7,0.0616,3,0,0,0
post-api,api-vs-preload-multi-128,3,umem,multi-thread,128,20000000,156250,0.069262,288760065.00,16,27,48,107,192,29980425,73,11030528,11030528,790052932,0,0,,,0,3654.3,8.9,0.0817,3,0,0,0
post-preload,api-vs-preload-multi-128,3,umem-preload,multi-thread,128,20000000,156250,0.085958,232670627.67,18,30,41,104,135,45023106,119,12615680,12615680,790052932,0,0,,,0,4673.8,0.0,0.0645,3,0,0,0
post-api,api-vs-preload-multi-192,1,umem,multi-thread,192,19999872,104166,0.050223,398223458.03,16,30,71,245,569,17400688,57,12603392,12603392,790070049,0,0,,,0,4013.9,20.6,0.0433,3,0,0,0
post-preload,api-vs-preload-multi-192,1,umem-preload,multi-thread,192,19999872,104166,0.060282,331774134.22,17,32,40,114,398,35942847,86,12603392,12603392,790070049,0,0,,,0,4995.6,0.0,0.0749,3,0,0,0
post-api,api-vs-preload-multi-192,2,umem,multi-thread,192,19999872,104166,0.041962,476624084.32,16,28,63,249,559,17505255,49,12603392,12603392,790070049,0,0,,,0,3994.5,0.0,0.1385,3,1,0,0
post-preload,api-vs-preload-multi-192,2,umem-preload,multi-thread,192,19999872,104166,0.063230,316303466.78,18,32,41,134,473,25637529,80,12599296,12599296,790070049,0,0,,,0,4992.7,3.0,0.1126,3,1,0,0
post-api,api-vs-preload-multi-192,3,umem,multi-thread,192,19999872,104166,0.048879,409170912.75,16,29,61,206,518,13206063,71,12623872,12623872,790070049,0,0,,,0,3931.8,0.0,0.0677,3,0,0,0
post-preload,api-vs-preload-multi-192,3,umem-preload,multi-thread,192,19999872,104166,0.060284,331759687.54,18,32,40,130,492,27786767,72,12615680,12615680,790070049,0,0,,,0,5091.6,33.2,0.1075,3,1,0,0
